
"Ums�tze Girokonto";"Zeitraum: 180 Tage";
"Neuer Kontostand";"-5.323,60 EUR";

"Buchungstag";"Wertstellung (Valuta)";"Vorgang";"Buchungstext";"Umsatz in EUR";
"offen";"--";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: EDEKA Stefan M�ller>Dresden DE        2025-04-23T14:22:37                 ";"-87,45";
"offen";"--";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Mehmet Yilmaz>Dresden DE        2025-04-22T18:45:13                 ";"-22,80";
"23.04.2025";"23.04.2025";"�bertrag / �berweisung";"Empf�nger: Hamburg Property-3 Investment GmbHKto/IBAN: DE77200900005839571028 BLZ/BIC: GEVODEBB  Buchungstext: 3542.00073 Wagner Ref. AW7B24CM2VGD1JY6/3";"-1.250,00";
"23.04.2025";"23.04.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1053682471925/PP.9821.PP/. Telekom GmbH, Ihr Einkauf bei Telekom Gmb H Ref. 8K3D23BL55OE92KB/27491";"-4,99";
"23.04.2025";"23.04.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1053682658240/PP.9821.PP/. Telekom GmbH, Ihr Einkauf bei Telekom Gmb H Ref. 8K3D23BL55OE92KB/28197";"-4,99";
"22.04.2025";"22.04.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal (Europe) S.a r.l. et Cie, S.C.A. Buchungstext: 1053695669565 PP.9821.PP . PayPal ( Europe) S.a r.l. et Cie, SCA, Ihr E inkauf bei PayPal (Europe) S.a r.l. et Cie, SCA Ref. 5D3D23BM2UGRDUGW/22137";"-34,50";
"22.04.2025";"22.04.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1053691547015/PP.9821.PP/. Moviest ar Services, LLC, Ihr Einkauf bei Moviest ar Services, LLC Ref. 2U3D23BM2UVW7IBU/37313";"-12,99";
"21.04.2025";"21.04.2025";"Bar";" Buchungstext: Ihre Bargeldeinzahlung vom 21.04.2025, 15:12:42 Uhr Ref. 483D23BM4ODNBQAR/328";"500,00";
"21.04.2025";"21.04.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-04-20T10:37:38 KFN 7 TK 3923 Ref. BY3D23BM3F3H3VOO/26455";"-15,87";
"20.04.2025";"20.04.2025";"Lastschrift / Belastung";"Auftraggeber: HUK-COBURG Buchungstext: Kfz-Versicherung Nr 642751735 fuerI hr Fahrzeug mit dem Kennzeichen DD 2271 Ref. BD3D23BJ4RX41033/48063";"-64,85";
"19.04.2025";"19.04.2025";"Lastschrift / Belastung";"Auftraggeber: DM 2487 DRESDEN Buchungstext: DM 2487 DRESDEN 15042240625853 4392321004872 ELV71412263 15.04 13. 52 Ref. 9V3D23BJ1098IIPM/95442";"-28,76";
"19.04.2025";"19.04.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal (Europe) S.a r.l. et Cie, S.C.A. Buchungstext: 1053617032288 PP.9821.PP . NetflixPl us, Ihr Einkauf bei NetflixPlus Ref. 8F3D23BJ26M8KNJ1/62006";"-12,99";
"18.04.2025";"18.04.2025";"Auszahlung GAA";"Auftraggeber: COMMERZBANK Buchungstext: Bargeldauszahlung Commerzbank///DE 2025-04-16T14:53:53 KFN 7 TK 3923 Ref. 883D23BJ3XKY5EHJ/25465";"-80,00";
"18.04.2025";"18.04.2025";"Lastschrift / Belastung";"Auftraggeber: Norma Dresden Buchungstext: NORMA SAGT DANKE. 48413287//Dresden 2025-04-15T11:41:46 KFN 7 TK 3923 Ref. 283D23BJ3HJSFQXO/849";"-2,79";
"18.04.2025";"18.04.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-04-16T16:11:38 KFN 7 TK 3923 Ref. 5P3D23BJ3F7V5W32/81594";"-76,23";
"17.04.2025";"17.04.2025";"Lastschrift / Belastung";"Auftraggeber: Tankstelle Buchungstext: Aral Kesselsdorf//Dresden/DE 2025-04-17T15:26:17 KFN 7 TK 3923 Ref. 5P3D23BJ3F7V5W32/11154";"-12,50";
"17.04.2025";"17.04.2025";"Lastschrift / Belastung";"Auftraggeber: Tankstelle Buchungstext: Shell Tankstelle//Dresden/DE 2025-04-16T13:28:25 KFN 7 TK 3923 Ref. 5P3D23BJ3F7V5W32/3067";"-45,78";
"16.04.2025";"16.04.2025";"Lastschrift / Belastung";"Auftraggeber: TOTAL DANKT FUER IHREN KAUF. Buchungstext: 130420656796352392311062261 ELV8125 2894 13.04 20:65 ME6 Ref. 5K3D23BG1XDB9KGM/17947";"-10,50";
"16.04.2025";"16.04.2025";"Lastschrift / Belastung";"Auftraggeber: Lidl GmbH & Co. KG Buchungstext: EL+ 78101080 13.04 19:56 KARTE06 FI L.7348 Lidl GmbH & Co. KG DRESDEN Ref. 283D23BG26CWBYP9/26358";"-32,45";
"15.04.2025";"15.04.2025";"�bertrag / �berweisung";"Empf�nger: Schmidt Hoffmann MeierKto/IBAN: DE52411707600085682985 BLZ/BIC: CBBADEFFXXX  Buchungstext: SCD059472-26 Ref. J9336213M3649902/3";"-75,30";
"15.04.2025";"15.04.2025";"Gehalt / Rente";"Auftraggeber: Technische Universit�t Dresden Buchungstext: LOHN / GEHALT 04/2025 Ref. K4336213N6127833/4";"2.450,50";
"14.04.2025";"14.04.2025";"Dauerauftrag / Terminueberweisung";"Empf�nger: Wohnungsgenossenschaft DresdenKto/IBAN: DE98850503003105723401 BLZ/BIC: OSDDDE81XXX  Buchungstext: Miete April 2025 Schmidt Ref. Y0336213N1573492/5";"-785,00";
"14.04.2025";"14.04.2025";"Lastschrift / Belastung";"Auftraggeber: Fitness First GmbH Buchungstext: Mitgliedsbeitrag April Kd-Nr. 37294615 Ref. Z6336213N4825105/6";"-39,90";
"13.04.2025";"13.04.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: SATURN>Dresden DE        2025-04-13T16:42:19                 ";"-199,99";
"13.04.2025";"13.04.2025";"Lastschrift / Belastung";"Auftraggeber: Apple Distribution International Buchungstext: Apple Music 7324956183 Apple.com/bill Ref. F2336213N9247631/7";"-9,99";
"12.04.2025";"12.04.2025";"Lastschrift / Belastung";"Auftraggeber: IKEA Deutschland GmbH & Co. OHG Buchungstext: IKEA DRESDEN 12.04.2025 13:45 KNr.3987245 Ref. G7336213O1563892/8";"-125,75";
"12.04.2025";"12.04.2025";"�bertrag / �berweisung";"Empf�nger: Schmidt AnnaKto/IBAN: DE37100500000054329876 BLZ/BIC: BELADEBEXXX  Buchungstext: R�ckzahlung Kino Ref. H8336213O2457391/9";"-24,00";
"11.04.2025";"11.04.2025";"�bertrag / �berweisung";"Auftraggeber: Meyer KlausKto/IBAN: DE62700500000023456789 BLZ/BIC: BYLADEMMXXX  Buchungstext: R�ckzahlung Restaurantbesuch Ref. I9336213O3698712/10";"47,50";
"11.04.2025";"11.04.2025";"Lastschrift / Belastung";"Auftraggeber: OBI GmbH & Co. Deutschland KG Buchungstext: OBI DRESDEN 11.04.2025 11:23 KNr.6243198 Ref. J0336213O4721563/11";"-87,34";
"10.04.2025";"10.04.2025";"Lastschrift / Belastung";"Auftraggeber: ALDI S�D Buchungstext: ALDI SAGT DANKE. 62487539//Dresden/D 2025-04-10T09:34:27 KFN 7 TK 3923 Ref. K1336213O5832674/12";"-45,67";
"10.04.2025";"10.04.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Cafe Bohne>Dresden DE        2025-04-10T11:27:46                 ";"-8,75";
"09.04.2025";"09.04.2025";"Lastschrift / Belastung";"Auftraggeber: Vattenfall Europe Sales GmbH Buchungstext: Abschlag Strom Kd-Nr. 72638491 04/2025 Ref. L2336213O6943785/13";"-95,00";
"09.04.2025";"09.04.2025";"�bertrag / �berweisung";"Empf�nger: ADAC e.V.Kto/IBAN: DE91700500000008856344 BLZ/BIC: BYLADEMMXXX  Buchungstext: Mitgliedsbeitrag 2025 Ref. M3336213O7054896/14";"-58,00";
"08.04.2025";"08.04.2025";"Lastschrift / Belastung";"Auftraggeber: Amazon EU S.a.r.l. Buchungstext: Amazon.de 7326459182 Bestellnr. 304-9283746-5012 Ref. N4336213O8165907/15";"-29,99";
